日期,股票代码,名称,收盘价,最高价,最低价,开盘价,换手率,成交量,总市值,流通市值
2020-04-30,'600019,宝钢股份,4.87,4.88,4.78,4.79,0.1255,27799224,1.08461173169e+11,1.07899635384e+11
2020-04-29,'600019,宝钢股份,4.77,4.79,4.71,4.73,0.1004,22233986,1.06234044356e+11,1.05684037121e+11
2020-04-28,'600019,宝钢股份,4.75,4.84,4.69,4.84,0.1534,33980291,1.05788618594e+11,1.05240917469e+11
2020-04-27,'600019,宝钢股份,4.83,4.86,4.82,4.84,0.0949,21015626,1.07570321644e+11,1.07013396079e+11
2020-04-24,'600019,宝钢股份,4.82,4.85,4.8,4.85,0.0997,22099485,1.07347608762e+11,1.06791836252e+11
2020-04-23,'600019,宝钢股份,4.83,4.87,4.81,4.85,0.1231,27272647,1.07570321644e+11,1.07013396079e+11
2020-04-22,'600019,宝钢股份,4.83,4.84,4.79,4.82,0.1383,30651837,1.07570321644e+11,1.07013396079e+11
2020-04-21,'600019,宝钢股份,4.84,4.87,4.81,4.86,0.1201,26609497,1.07793034525e+11,1.07234955905e+11
2020-04-20,'600019,宝钢股份,4.89,4.93,4.88,4.92,0.1265,28036760,1.08906598931e+11,1.08342755036e+11
2020-04-17,'600019,宝钢股份,4.93,4.94,4.87,4.93,0.1629,36085070,1.09797450456e+11,1.09228994341e+11
2020-04-16,'600019,宝钢股份,4.9,4.9,4.85,4.87,0.093,20597184,1.09129311812e+11,1.08564314862e+11
2020-04-15,'600019,宝钢股份,4.9,4.94,4.88,4.93,0.099,21933018,1.09129311812e+11,1.08564314862e+11
2020-04-14,'600019,宝钢股份,4.91,4.91,4.85,4.87,0.1413,31305355,1.09352024694e+11,1.08785874689e+11
2020-04-13,'600019,宝钢股份,4.84,4.85,4.82,4.84,0.0743,16466250,1.07793034525e+11,1.07234955905e+11
2020-04-10,'600019,宝钢股份,4.85,4.94,4.83,4.93,0.1051,23280680,1.08015747406e+11,1.07456515731e+11
2020-04-09,'600019,宝钢股份,4.92,4.96,4.9,4.94,0.0986,21842206,1.09574737575e+11,1.09007434515e+11
2020-04-08,'600019,宝钢股份,4.93,4.94,4.85,4.87,0.1761,39010889,1.09797450456e+11,1.09228994341e+11
2020-04-07,'600019,宝钢股份,4.87,4.89,4.82,4.85,0.1852,41032873,1.08461173169e+11,1.07899635384e+11
2020-04-03,'600019,宝钢股份,4.79,4.81,4.77,4.81,0.0888,19678392,1.06679470119e+11,1.06127156774e+11
2020-04-02,'600019,宝钢股份,4.81,4.82,4.73,4.79,0.1628,36072113,1.07124895881e+11,1.06570276426e+11
2020-04-01,'600019,宝钢股份,4.8,4.89,4.78,4.87,0.1645,36455059,1.06902183e+11,1.063487166e+11
2020-03-31,'600019,宝钢股份,4.87,4.91,4.76,4.79,0.2937,65079907,1.08461173169e+11,1.07899635384e+11
2020-03-30,'600019,宝钢股份,4.75,4.8,4.71,4.72,0.1604,35541193,1.05788618594e+11,1.05240917469e+11
2020-03-27,'600019,宝钢股份,4.77,4.82,4.74,4.77,0.1499,33216714,1.06234044356e+11,1.05684037121e+11
2020-03-26,'600019,宝钢股份,4.72,4.78,4.72,4.77,0.1468,32528708,1.0513545297e+11,1.0457623799e+11
2020-03-25,'600019,宝钢股份,4.79,4.81,4.73,4.8,0.2158,47807699,1.06694665196e+11,1.06127156774e+11
2020-03-24,'600019,宝钢股份,4.69,4.71,4.63,4.66,0.2325,51512694,1.04467219159e+11,1.03911558511e+11
2020-03-23,'600019,宝钢股份,4.6,4.7,4.58,4.68,0.3562,78925245,1.02462517725e+11,1.01917520075e+11
2020-03-20,'600019,宝钢股份,4.78,4.8,4.71,4.76,0.2019,44734230,1.06471920592e+11,1.05905596948e+11
2020-03-19,'600019,宝钢股份,4.72,4.89,4.69,4.87,0.386,85514697,1.0513545297e+11,1.0457623799e+11
2020-03-18,'600019,宝钢股份,4.87,4.96,4.86,4.92,0.2443,54120169,1.08476622026e+11,1.07899635384e+11
2020-03-17,'600019,宝钢股份,4.9,5.02,4.86,4.95,0.4027,89211219,1.09144855838e+11,1.08564314862e+11
2020-03-16,'600019,宝钢股份,4.96,5.15,4.96,5.13,0.3687,81680584,1.1048132346e+11,1.0989367382e+11
2020-03-13,'600019,宝钢股份,5.11,5.15,5.0,5.03,0.319,70680914,1.13822492516e+11,1.13217071214e+11
2020-03-12,'600019,宝钢股份,5.18,5.23,5.16,5.21,0.2542,56321776,1.15381704742e+11,1.14767989998e+11
2020-03-11,'600019,宝钢股份,5.25,5.3,5.24,5.29,0.2535,56159406,1.16940916969e+11,1.16318908781e+11
2020-03-10,'600019,宝钢股份,5.3,5.37,5.22,5.22,0.2832,62741894,1.18054639988e+11,1.17426707912e+11
2020-03-09,'600019,宝钢股份,5.28,5.32,5.22,5.31,0.3797,84135021,1.1760915078e+11,1.1698358826e+11
2020-03-06,'600019,宝钢股份,5.39,5.46,5.38,5.45,0.3201,70931203,1.20059341421e+11,1.19420746349e+11
2020-03-05,'600019,宝钢股份,5.5,5.52,5.41,5.45,0.4501,99724496,1.22509532062e+11,1.21857904438e+11
2020-03-04,'600019,宝钢股份,5.42,5.45,5.37,5.4,0.287,63582010,1.20727575232e+11,1.20085425828e+11
2020-03-03,'600019,宝钢股份,5.4,5.52,5.38,5.48,0.4375,96926202,1.20282086025e+11,1.19642306175e+11
2020-03-02,'600019,宝钢股份,5.42,5.46,5.18,5.18,0.5485,121531035,1.20727575232e+11,1.20085425828e+11
2020-02-28,'600019,宝钢股份,5.2,5.26,5.16,5.16,0.3147,69726184,1.1582719395e+11,1.1521110965e+11
2020-02-27,'600019,宝钢股份,5.29,5.36,5.28,5.3,0.2285,50620117,1.17831895384e+11,1.17205148086e+11
2020-02-26,'600019,宝钢股份,5.32,5.36,5.17,5.19,0.4072,90216616,1.18500129195e+11,1.17869827565e+11
2020-02-25,'600019,宝钢股份,5.23,5.29,5.2,5.24,0.3529,78198423,1.16495427761e+11,1.15875789129e+11
2020-02-24,'600019,宝钢股份,5.34,5.37,5.32,5.36,0.3445,76338095,1.18945618402e+11,1.18312947218e+11
