日期,股票代码,名称,收盘价,最高价,最低价,开盘价,换手率,成交量
2007/12/25,'601601,N太保,48.17,51.97,47.88,51,48.6315,340420711
2007/12/26,'601601,中国太保,49.93,50.23,48.01,48.5,14.7505,103253161
2007/12/27,'601601,中国太保,50.31,51.36,49.65,50,11.1581,78106937
2007/12/28,'601601,中国太保,49.45,50.29,49.01,50.2,5.9984,41988536
2008/1/2,'601601,中国太保,48.61,49.25,48.05,49,5.9352,41546193
2008/1/3,'601601,中国太保,48.81,48.87,47.1,48.61,6.4993,45495233
2008/1/4,'601601,中国太保,48.99,49.38,48.55,48.91,4.2776,29943094
2008/1/7,'601601,中国太保,48.54,49.18,48.02,48.6,3.6364,25454871
2008/1/8,'601601,中国太保,49.19,50.28,48.66,48.66,6.6226,46358353
2008/1/9,'601601,中国太保,49.11,49.45,48.45,48.8,3.3715,23600284
2008/1/10,'601601,中国太保,49.19,49.5,48.58,49.23,3.6036,25225159
2008/1/11,'601601,中国太保,49.15,50.25,48.88,49.35,3.8357,26850210
2008/1/14,'601601,中国太保,48.61,49.58,48.58,49.19,3.8582,27007672
2008/1/15,'601601,中国太保,47.75,48.54,47.6,48.52,5.2626,36838258
2008/1/16,'601601,中国太保,46.33,47.5,46.28,47.29,4.9177,34423654
2008/1/17,'601601,中国太保,45.04,46.58,44.2,45.9,3.7201,26040739
2008/1/18,'601601,中国太保,44.92,45.35,44.31,45.05,2.2877,16013648
2008/1/21,'601601,中国太保,40.96,44.92,40.43,44.92,5.2244,36570943
2008/1/22,'601601,中国太保,36.88,40.35,36.86,40.35,5.9294,41505784
2008/1/23,'601601,中国太保,39.19,40.05,36.56,37.8,5.0233,35162924
2008/1/24,'601601,中国太保,38.76,39.9,38,39.9,2.9802,20861409
2008/1/25,'601601,中国太保,39.81,41,39.09,40,6.012,42084290
2008/1/28,'601601,中国太保,35.83,39.15,35.83,39,3.4197,23937923
2008/1/29,'601601,中国太保,37.02,37.67,36.11,36.58,2.1108,14775667
2008/1/30,'601601,中国太保,36.89,37.9,35.9,37.65,2.3378,16364618
2008/1/31,'601601,中国太保,36.89,37.8,36.58,37.09,1.7086,11960397
2008/2/1,'601601,中国太保,37.27,37.87,35.86,37.11,2.3072,16150206
2008/2/4,'601601,中国太保,39.82,40.05,37.66,38,3.5269,24688027
2008/2/5,'601601,中国太保,38.39,39.39,38.26,39.2,1.8893,13225105
2008/2/13,'601601,中国太保,36.84,37.45,36.68,37.45,1.3357,9349737
2008/2/14,'601601,中国太保,37.18,37.62,36.97,37.01,0.8045,5631568
2008/2/15,'601601,中国太保,36.93,37.04,36.3,36.78,1.0588,7411276
2008/2/18,'601601,中国太保,37.3,37.85,37.24,37.51,1.2415,8690673
2008/2/19,'601601,中国太保,37.77,37.83,36.68,37.3,1.6566,11596346
2008/2/20,'601601,中国太保,36.72,37.95,36.68,37.93,1.9317,13521781
2008/2/21,'601601,中国太保,36.2,36.7,36,36.7,1.8975,13282838
2008/2/22,'601601,中国太保,34.24,36.05,33.99,36,3.3161,23212722
2008/2/25,'601601,中国太保,32.93,34.5,32.88,34.35,1.8248,12773770
2008/2/26,'601601,中国太保,34.1,34.69,33.1,34.35,1.9394,13575898
2008/2/27,'601601,中国太保,35.52,35.84,34.44,34.99,2.1078,14754906
2008/2/28,'601601,中国太保,34.91,35.6,34.7,35.5,1.3515,9460233
2008/2/29,'601601,中国太保,35.21,35.81,34.62,34.7,1.1491,8043607
2008/3/3,'601601,中国太保,36.19,36.65,34.6,34.8,2.0703,14492328
2008/3/4,'601601,中国太保,35.54,36.46,35.24,36.05,1.8735,13114813
2008/3/5,'601601,中国太保,35.17,35.75,34.51,35.22,0.8954,6267909
2008/3/6,'601601,中国太保,36.51,38.59,35.3,36,2.9121,20384804
2008/3/7,'601601,中国太保,35.43,36,35.12,36,1.2292,8604678
