日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019/5/15,'600100,同方股份,9.97,10.04,9.87,9.95,9.85,0.12,1.2183,0.6511,19296497,191858165,29550072542,29550072542
2019/5/14,'600100,同方股份,9.85,9.99,9.77,9.78,9.9,-0.05,-0.5051,0.548,16242364,160859851,29194404667,29194404667
2019/5/13,'600100,同方股份,9.9,10.2,9.69,10.03,10.36,-0.46,-4.4402,1.1209,33223223,328900980,29342599615,29342599615
2019/5/10,'600100,同方股份,10.36,10.43,9.85,10.03,9.91,0.45,4.5409,1.2277,36387828,370351244,30705993132,30705993132
2019/5/9,'600100,同方股份,9.91,10.11,9.84,9.9,10.03,-0.12,-1.1964,0.5509,16327097,163650463,29372238604,29372238604
2019/5/8,'600100,同方股份,10.03,10.13,9.61,9.67,9.91,0.12,1.2109,0.8234,24405283,242632128,29727906479,29727906479
2019/5/7,'600100,同方股份,9.91,9.96,9.66,9.8,9.73,0.18,1.8499,0.8052,23866316,234915924,29372238604,29372238604
2019/5/6,'600100,同方股份,9.73,10.34,9.5,10,10.41,-0.68,-6.5322,1.2664,37535935,373093062,28838736793,28838736793
2019/4/30,'600100,同方股份,10.41,10.64,10.1,10.25,9.99,0.42,4.2042,1.4722,43634582,454447231,30854188080,30854188080
2019/4/29,'600100,同方股份,9.99,10.33,9.84,10.31,10.31,-0.32,-3.1038,1.0169,30140598,302108927,29609350521,29609350521
2019/4/26,'600100,同方股份,10.31,10.54,10,10.1,10.34,-0.03,-0.2901,1.388,41140374,424227094,30557798185,30557798185
2019/4/25,'600100,同方股份,10.34,11.25,10.34,11.13,11.49,-1.15,-10.0087,2.8176,83509405,892146857,30646715153,30646715153
2019/4/24,'600100,同方股份,11.49,12.05,11.38,12,11.98,-0.49,-4.0902,1.9654,58252067,670826071,34055198947,34055198947
2019/4/23,'600100,同方股份,11.98,12.35,11.96,12.26,12.3,-0.32,-2.6016,0.5734,16994848,205834877,35507509433,35507509433
2019/4/22,'600100,同方股份,12.3,12.69,12.17,12.65,12.65,-0.35,-2.7668,0.7069,20951651,259641418,36455957097,36455957097
2019/4/19,'600100,同方股份,12.65,12.75,12.53,12.68,12.75,-0.1,-0.7843,0.5028,14901977,188308951,37493321730,37493321730
2019/4/18,'600100,同方股份,12.75,12.89,12.6,12.89,12.9,-0.15,-1.1628,0.6667,19760036,251320275,37789711625,37789711625
2019/4/17,'600100,同方股份,12.9,13.13,12.79,12.98,13.06,-0.16,-1.2251,0.6571,19477244,252205386,38234296468,38234296468
2019/4/16,'600100,同方股份,13.06,13.13,12.4,12.81,12.89,0.17,1.3189,0.9644,28585039,364382028,38708520300,38708520300
2019/4/15,'600100,同方股份,12.89,13.46,12.84,13.4,13.3,-0.41,-3.0827,1.0747,31851935,420348977,38204657478,38204657478
2019/4/12,'600100,同方股份,13.3,13.33,12.66,12.91,12.81,0.49,3.8251,1.4591,43245114,562317776,39419856048,39419856048
2019/4/11,'600100,同方股份,12.81,13.22,12.76,12.89,12.94,-0.13,-1.0046,0.8414,24937152,324183095,37967545562,37967545562
2019/4/10,'600100,同方股份,12.94,13.25,12.8,13.17,13.29,-0.35,-2.6336,0.9961,29522921,382812206,38352852426,38352852426
2019/4/9,'600100,同方股份,13.29,13.57,13.04,13.32,13.18,0.11,0.8346,1.4181,42029794,558316191,39390217059,39390217059
2019/4/8,'600100,同方股份,13.18,13.79,12.98,13.7,13.73,-0.55,-4.0058,1.908,56551487,752630959,39064188174,39064188174
2019/4/4,'600100,同方股份,13.73,14.14,13.38,14.14,13.3,0.43,3.2331,2.6957,79896395,1097391841,40694332597,40694332597
2019/4/3,'600100,同方股份,13.3,13.4,12.77,12.81,12.92,0.38,2.9412,1.6316,48359942,631542245,39419856048,39419856048
2019/4/2,'600100,同方股份,12.92,13.25,12.62,12.62,12.67,0.25,1.9732,1.9934,59083049,766882344,38293574447,38293574447
2019/4/1,'600100,同方股份,12.67,12.68,12.18,12.26,12.34,0.33,2.6742,1.6091,47693199,595622792,37552599709,37552599709
2019/3/29,'600100,同方股份,12.34,12.45,11.77,12.23,12.38,-0.04,-0.3231,1.4653,43431177,528259329,36574513055,36574513055
2019/3/28,'600100,同方股份,12.38,12.98,12.33,12.45,12.39,-0.01,-0.0807,1.2816,37984777,481572284,36693069013,36693069013
2019/3/27,'600100,同方股份,12.39,12.92,12.2,12.92,12.98,-0.59,-4.5455,1.7018,50439890,629072215,36722708003,36722708003
2019/3/26,'600100,同方股份,12.98,13.4,12.72,12.81,12.8,0.18,1.4063,3.1759,94131425,1234251535,38471408384,38471408384
2019/3/25,'600100,同方股份,12.8,13.08,12.08,12.22,12.5,0.3,2.4,1.9585,58049287,735219856,37937906573,37937906573
